City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Vestmannaeyjar,IS,63.4427,-20.2734,50.88,78,23,8.41,few clouds
222,Beya,RU,53.0533,90.9139,46.33,86,48,5.37,scattered clouds
223,Vila,PT,42.0304,-8.1588,74.28,54,90,5.01,overcast clouds
224,Qaanaaq,GL,77.484,-69.3632,46.53,80,23,6.49,few clouds
225,Khuzdar,PK,27.7384,66.6434,71.65,79,100,1.41,overcast clouds
226,Avera,US,33.194,-82.5271,86.05,65,100,6.31,overcast clouds
227,Marquette,US,46.5333,-87.6335,75.78,59,0,5.35,clear sky
228,Omboue,GA,-1.5746,9.2618,71.01,90,0,5.21,clear sky
229,Kindu,CD,-2.95,25.95,75.83,64,96,1.34,overcast clouds
230,Opuwo,NA,-18.0607,13.84,59.81,33,1,8.16,clear sky
231,Buarcos,PT,40.166,-8.8768,71.94,67,93,5.82,overcast clouds
232,Bhit Shah,PK,25.8044,68.4927,82.45,77,100,12.39,overcast clouds
233,Roccastrada,IT,43.0099,11.1665,74.88,82,0,0.98,clear sky
234,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,78.31,86,98,1.05,overcast clouds
235,Nelson Bay,AU,-32.7167,152.15,51.01,87,56,11.01,broken clouds
236,Karratha,AU,-20.7377,116.8463,61.5,53,31,9.28,light rain
237,Nikel,RU,69.4128,30.222,60.98,89,95,10.56,light rain
238,Morlaix,FR,48.5833,-4.0,62.22,84,0,5.75,clear sky
239,Tiksi,RU,71.6872,128.8694,52.39,84,100,12.95,overcast clouds
240,Paita,PE,-5.0892,-81.1144,68.07,69,9,18.68,clear sky
241,Henties Bay,NA,-22.116,14.2845,58.57,72,0,7.02,clear sky
242,Kununurra,AU,-15.7667,128.7333,53.58,43,66,5.75,broken clouds
243,Vazante,BR,-17.9869,-46.9078,69.84,42,31,3.69,scattered clouds
244,Naze,JP,28.3667,129.4833,79.72,88,96,10.09,overcast clouds
245,Daru,PG,-9.0763,143.2092,75.76,78,89,18.03,overcast clouds
246,San Quintin,MX,30.4833,-115.95,72.61,67,0,13.89,clear sky
247,Sanlucar La Mayor,ES,37.3871,-6.2011,93.61,19,0,2.62,clear sky
248,Iqaluit,CA,63.7506,-68.5145,49.73,76,75,6.91,broken clouds
249,Iwanai,JP,42.9744,140.5089,68.18,87,100,7.67,moderate rain
250,Olafsvik,IS,64.8945,-23.7142,50.72,73,88,2.26,overcast clouds
251,Portland,US,45.5234,-122.6762,85.55,43,20,10.36,few clouds
252,Gamba,GA,-2.65,10.0,69.3,93,1,4.52,clear sky
253,Rio Gallegos,AR,-51.6226,-69.2181,28.45,100,40,4.61,fog
254,Laguna,US,38.421,-121.4238,100.76,34,0,5.75,clear sky
255,Zhangye,CN,38.9342,100.4517,65.77,79,100,3.15,overcast clouds
256,Roros,NO,62.5747,11.3842,42.64,81,100,6.91,overcast clouds
257,Komsomolskiy,UZ,40.4272,71.7189,74.12,49,0,6.91,clear sky
258,Castro,BR,-24.7911,-50.0119,59.85,75,46,2.95,scattered clouds
259,Caravelas,BR,-17.7125,-39.2481,70.93,83,5,5.61,clear sky
260,Oyem,GA,1.5995,11.5793,67.8,96,96,3.8,overcast clouds
261,North Platte,US,41.1239,-100.7654,106.12,23,0,4.61,clear sky
262,Havre-Saint-Pierre,CA,50.2334,-63.5986,66.56,63,0,8.05,clear sky
263,Murray Bridge,AU,-35.1167,139.2667,46.13,81,3,7.27,clear sky
264,Kayankulam,IN,9.1833,76.5,77.97,88,99,12.97,overcast clouds
265,Boyolangu,ID,-8.1181,111.8935,74.88,94,89,7.07,light rain
266,Xinpu,CN,34.5997,119.1594,78.89,95,78,4.65,broken clouds
267,Vostochnyy,RU,55.8167,37.8667,62.78,93,100,7.61,overcast clouds
268,Rabaul,PG,-4.1967,152.1721,81.28,74,41,13.33,scattered clouds
269,Pacific Grove,US,36.6177,-121.9166,84.22,78,20,11.5,few clouds
270,Belaya Gora,RU,68.5333,146.4167,63.1,59,31,5.68,scattered clouds
271,San Cristobal,VE,7.7669,-72.225,82.58,51,36,1.34,scattered clouds
272,Doha,QA,25.2867,51.5333,93.09,80,57,3.44,broken clouds
273,Pedasi,PA,7.5333,-80.0333,83.07,76,84,5.7,broken clouds
274,Lagoa,PT,39.05,-27.9833,69.28,90,24,15.55,few clouds
275,Cabo San Lucas,MX,22.8909,-109.9124,93.61,46,0,5.75,clear sky
276,Ulladulla,AU,-35.35,150.4667,44.89,75,0,5.41,clear sky
277,Fujin,CN,47.26,132.0322,66.58,95,100,7.74,overcast clouds
278,Khorixas,NA,-20.3667,14.9667,63.88,25,0,8.57,clear sky
279,Saint-Georges,GD,12.0564,-61.7485,83.88,74,40,5.75,scattered clouds
280,Kathmandu,NP,27.7167,85.3167,70.02,94,75,2.3,broken clouds
281,Champerico,GT,14.3,-91.9167,90.14,75,91,8.72,overcast clouds
282,Hvolsvollur,IS,63.7533,-20.2243,47.59,86,58,3.69,broken clouds
283,Kutum,SD,14.2,24.6667,72.95,71,94,1.52,light rain
284,Sinnar,SD,13.5691,33.5672,75.27,84,100,9.48,overcast clouds
285,Avon Park,US,27.5959,-81.5062,93.18,50,78,6.73,light rain
