City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
263,Murray Bridge,AU,46.13,clear sky,-35.1167,139.2667,Balcony On Sixth Lodge
264,Kayankulam,IN,77.97,overcast clouds,9.1833,76.5,Hotel Indraprastha
265,Boyolangu,ID,74.88,light rain,-8.1181,111.8935,Yos ega cv
266,Xinpu,CN,78.89,broken clouds,34.5997,119.1594,Pattaya Leisure Hotel
267,Vostochnyy,RU,62.78,overcast clouds,55.8167,37.8667,MarianHall
268,Rabaul,PG,81.28,scattered clouds,-4.1967,152.1721,Rabaul Hotel
269,Pacific Grove,US,84.22,few clouds,36.6177,-121.9166,Lovers Point Inn
271,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Pirineos
272,Doha,QA,93.09,broken clouds,25.2867,51.5333,Doha Marriott Hotel
273,Pedasi,PA,83.07,broken clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
274,Lagoa,PT,69.28,few clouds,39.05,-27.9833,Casa Das Faias
275,Cabo San Lucas,MX,93.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
276,Ulladulla,AU,44.89,clear sky,-35.35,150.4667,Sandpiper Motel
277,Fujin,CN,66.58,overcast clouds,47.26,132.0322,Xilong Hotel Fujin Shop
279,Saint-Georges,GD,83.88,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
280,Kathmandu,NP,70.02,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
281,Champerico,GT,90.14,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
282,Hvolsvollur,IS,47.59,broken clouds,63.7533,-20.2243,Hotel Rangá
283,Kutum,SD,72.95,light rain,14.2,24.6667,Dibbo areaمنطقة دبو
284,Sinnar,SD,75.27,overcast clouds,13.5691,33.5672,بساتين سالمة
285,Avon Park,US,93.18,light rain,27.5959,-81.5062,Econo Lodge Sebring
286,Swan River,CA,76.89,broken clouds,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
287,Iquique,CL,64.44,broken clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
288,San Esteban,HN,90.5,broken clouds,15.2,-85.75,Hacienda El Higuerito
289,Batsfjord,NO,56.98,overcast clouds,70.6345,29.7185,Adventure Apartements
290,Marienburg,PL,57.87,broken clouds,54.0359,19.0266,Hotel Centrum Malbork
291,Carnarvon,AU,66.16,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
292,Ulaangom,MN,49.33,few clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
294,Hami,CN,75.76,clear sky,42.8,93.45,Laoyutang Resort
295,Villazon,BO,46.76,scattered clouds,-22.0866,-65.5942,La Candelaria
297,Uvat,RU,60.21,clear sky,59.1433,68.8953,Uvatskiy Rayonnyy Dom Kul'tury
298,Broken Hill,AU,40.48,clear sky,-31.95,141.4333,Royal Exchange Hotel
300,Mehamn,NO,53.55,light rain,71.0357,27.8492,Mehamn Arctic Hotel AS
301,Coquimbo,CL,51.53,overcast clouds,-29.9533,-71.3436,Hotel San Juan
302,Haines Junction,CA,53.55,overcast clouds,60.7522,-137.5108,Parkside Inn
303,Karabash,RU,64.13,overcast clouds,55.4808,60.2157,Uyut
304,Sabang,ID,82.54,broken clouds,5.8933,95.3214,Hotel Citra
305,Labuhan,ID,76.35,broken clouds,-6.8844,112.2051,DoubleFAG
306,Codrington,AU,43.07,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
307,Brownsville,US,94.08,scattered clouds,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
308,Saint Augustine,US,90.09,overcast clouds,29.8947,-81.3145,St. George Inn
309,Sao Pedro Do Sul,BR,57.85,overcast clouds,-29.6206,-54.1789,Sítio Hotel e Eventos
310,Moose Factory,CA,80.6,scattered clouds,51.2585,-80.6094,Cree Village Eco Lodge
311,Trinidad,BO,87.78,broken clouds,-14.8333,-64.9,Hotel Piesta
312,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
313,Ostersund,SE,48.65,light rain,63.1792,14.6357,Best Western Hotel Gamla Teatern
314,Srandakan,ID,75.33,scattered clouds,-7.9386,110.2506,Puri Brata
315,Luanda,AO,69.8,few clouds,-8.8368,13.2343,EPIC SANA Luanda
317,Maldonado,UY,59.23,broken clouds,-34.6667,-54.9167,La Cimarrona
318,Florida,US,91.08,clear sky,28.7505,-82.5001,Sportsmens Cove
319,Bluff,NZ,38.8,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
320,Prachuap Khiri Khan,TH,73.38,overcast clouds,12.2167,99.75,ผกากรองรีสอร์ท
321,Bambous Virieux,MU,70.21,light rain,-20.3428,57.7575,Casa Tia Villa
322,Yanam,IN,78.85,overcast clouds,16.7333,82.2167,The Regency Hotel
323,Mercedes,AR,55.78,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
324,Bereda,ES,73.42,moderate rain,43.2686,-7.5406,Pazo de Verdes
327,Roald,NO,53.76,scattered clouds,62.5833,6.1333,Flem Cabins
328,Plouzane,FR,60.85,clear sky,48.3833,-4.6167,Lymina
329,Abu Dhabi,AE,93.31,clear sky,24.4667,54.3667,Beach Rotana
